lat, lon, val
33.592296,-117.123694,166
33.63985,-117.16713,19
33.56042,-117.20901,119
33.707649082,-117.083905875,23
33.482179,-117.089883,25
33.6730318495,-117.252603543,139
33.709925,-117.085325,79
33.72179,-117.0762551,77
33.52387,-117.1584,31
33.518745,-117.163762,1408
33.558057,-117.178482,205
33.6834450448,-117.175073923,273
33.4951128474,-117.150330807,1282
33.71045,-117.191407,222
33.7114369702,-117.192115824,756
33.74786,-116.97206,123
33.553195,-117.197106,522
33.65518,-117.29789,746
33.7459659958,-117.008210708,137
33.7464098677,-116.990781384,7
33.57167,-117.18425,202
33.59363,-117.12207,16
33.7491182335,-116.972105093,334
33.5550928546,-117.15523947,235
33.4758148193,-117.115951538,189
33.52897,-117.15603,838
33.555415,-117.215116,661
33.73213,-117.01726,117
33.74713,-116.96914,288
33.597084,-117.241638,345
33.50454,-117.15137,2021
33.5508176,-117.1947052,893
33.54627,-117.15523,159
33.78602,-117.22866,131
33.4934278722,-117.1485055,1347
33.5259166015,-117.149611004,91
33.5137331155,-117.103858261,337
33.641389,-117.174832,252
33.52045,-117.15671,537
33.5911184,-117.1243218,121
33.5203907,-117.1514485,261
33.53022,-117.17567,240
33.49376,-117.1487,1509
33.6860232616,-117.174157707,898
33.6403554379,-117.169876794,159
33.52382,-117.1506,216
33.679145813,-117.254928589,5
33.475177,-117.120578,71
33.54585,-117.1548,49
33.475177,-117.120578,203
33.541369,-117.782348,2306
33.53843,-117.78111,912
33.542914,-117.7846491,619
33.54217,-117.78302,544
33.540463599,-117.782616338,1180
33.542522,-117.781799,458
33.5499730504,-117.779526714,141
33.53504,-117.77802,146
33.5447719603,-117.790341239,176
33.5369699,-117.77734,82
33.5340962,-117.776779,206
33.543368,-117.7820013,372
33.5441265315,-117.783283726,226
33.543062,-117.784827,1054
33.544506,-117.7818537,159
33.5497089594,-117.779669933,179
33.54626,-117.793945,168
33.57528,-117.72552,43
33.5361845711,-117.777972869,457
33.5357945,-117.7784271,285
33.5447540283,-117.782752991,460
33.5559566076,-117.714212313,361
33.5680169,-117.723503,136
33.5335265725,-117.776315188,312
33.5324369558,-117.775802981,1115
33.542808,-117.783531,237
33.5429279,-117.782988,172
33.5931787169,-117.69995926,10
33.5460457,-117.7938927,93
33.5374508452,-117.779650391,297
33.54573,-117.782058,320
33.5389155149,-117.780529931,728
33.53501,-117.77731,326
33.53317,-117.77594,102
33.576775,-117.725074,312
33.5439,-117.78911,210
33.54128,-117.7823,965
33.5743763046,-117.840270413,1643
33.501776,-117.743908,705
33.5442191,-117.7883842,1259
33.5410916,-117.7821262,731
33.5416178064,-117.783169448,1146
33.5398799,-117.78206,1391
33.57733,-117.72456,313
33.54244833,-117.783147777,595
33.5479302,-117.6709936,43
33.5352770091,-117.777655439,194
33.5683100625,-117.832455806,769
33.54461,-117.78529,40
33.5740697315,-117.839498263,508
32.629101,-117.089018,3565
32.6040925831,-117.065389305,444
32.6268863275,-116.975773198,89
32.6441063298,-116.996929591,359
32.6296531598,-117.090027407,139
32.6095173,-117.0672899,50
32.6445672291,-116.996830893,544
32.6519952215,-116.961020166,115
32.6233288274,-116.970062662,59
32.6526817892,-116.969397068,255
32.63819,-117.07906,357
32.6482277705,-117.059008532,440
32.6371168174,-117.020397761,245
32.6333517677,-116.967619946,11
32.6094521359,-117.06782875,457
32.6103720628,-117.081782967,192
32.62907,-117.04579,515
32.6452523,-116.9967974,354
32.6222647,-117.0724756,225
32.6213020858,-116.962246256,213
32.64643,-116.96572,147
32.65702,-117.04304,258
32.6418622,-116.9940726,32
32.6421597331,-117.080053613,105
32.6459515619,-117.002572509,357
32.6052763538,-117.065738289,174
32.6520186634,-116.954903,207
32.6459909506,-116.96577528,95
32.6111412048,-117.073661804,18
32.6605766889,-117.035652815,1346
32.61491757,-117.026479966,194
32.6599884498,-117.032078468,542
32.62857,-116.96569,190
32.6446519,-117.0949512,714
32.6411472479,-117.079681667,23
32.6614953041,-116.970271752,170
32.64055,-117.07924,465
32.641948,-116.993452,174
32.63641,-117.02378,322
32.62323,-116.99755,167
32.6247144604,-117.087333258,233
32.6441529092,-117.080846433,323
32.6115494,-117.0814514,370
32.62924,-117.04258,42
32.6603735232,-117.035335489,284
32.63477,-117.0779,254
32.61136,-117.08216,313
32.7126821,-117.1611949,20
32.6213222,-116.9619732,109
32.6044285297,-117.039492577,111
38.4815351,-121.4073771,20
38.4593666093,-121.489685029,13
38.5469265382,-121.435966863,2003
